Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,CAN1 (1)
97.58888,0,0,0,0,0,0,0,0,,None,98.59615646688,0,0,1557223
97.59021,0,0,0,0,0,0,0,0,,None,98.59748646688,0,0,1031039
97.59192,0,0,0,0,0,0,0,0,,None,98.59919646688,0,0,903612
98.36017,0,0,0,0,0,0,0,0,,None,99.36744646688,0,0,590302
98.57357,0,0,0,0,0,0,0,0,,None,99.58084646688,0,0,3264189
98.57409,0,0,0,0,0,0,0,0,,None,99.58136646688,0,0,858559
98.57522,0,0,0,0,0,0,0,0,,None,99.58249646688,0,0,1304837
98.5767,0,0,0,0,0,0,0,0,,None,99.58397646688,0,0,1268068
98.57722,0,0,0,0,0,0,0,0,,None,99.58449646688,0,0,395522
99.28831,0,0,0,0,0,0,0,0,,None,100.29558646688,0,0,2815666
99.28974,0,0,0,0,0,0,0,0,,None,100.29701646688,0,0,1377828
99.65829,0,0,0,0,0,0,0,0,,None,100.66556646688,0,0,16421005
99.65882,0,0,0,0,0,0,0,0,,None,100.66609646688,0,0,5678031
99.65924,0,0,0,0,0,0,0,0,,None,100.66651646688,0,0,4453564
99.65974,0,0,0,0,0,0,0,0,,None,100.66701646688,0,0,7588336
99.66039,0,0,0,0,0,0,0,0,,None,100.66766646688,0,0,3655551
99.66135,0,0,0,0,0,0,0,0,,None,100.66862646688,0,0,6042090
100.41777,0,0,0,0,0,0,0,0,,None,101.42504646688,0,0,1659730
100.41921,0,0,0,0,0,0,0,0,,None,101.42648646688,0,0,694036
100.4209,0,0,0,0,0,0,0,0,,None,101.42817646688,0,0,523634
101.20028,0,0,0,0,0,0,0,0,,None,102.20755646688,0,0,878782
107.591,0,0,0,0,0,0,0,0,,None,108.59827646688,0,0,321663
110.8546,0,0,0,0,0,0,0,0,,None,111.86187646688,0,0,371863
110.85628,0,0,0,0,0,0,0,0,,None,111.86355646688,0,0,1187911
110.85814,0,0,0,0,0,0,0,0,,None,111.86541646688,0,0,1199144
110.86024,0,0,0,0,0,0,0,0,,None,111.86751646688,0,0,3036829
111.06099,0,0,0,0,0,0,0,0,,None,112.06826646688,0,0,670254
112.14309,0,0,0,0,0,0,0,0,,None,113.15036646688,0,0,1038156
112.14695,0,0,0,0,0,0,0,0,,None,113.15422646688,0,0,365259
112.72493,0,0,0,0,0,0,0,0,,None,113.73220646688,0,0,6494033
112.72559,0,0,0,0,0,0,0,0,,None,113.73286646688,0,0,3111138
112.72615,0,0,0,0,0,0,0,0,,None,113.73342646688,0,0,2893850
112.72683,0,0,0,0,0,0,0,0,,None,113.73410646688,0,0,2626166
112.72891,0,0,0,0,0,0,0,0,,None,113.73618646688,0,0,2453934
119.27138,0,0,0,0,0,0,0,0,,None,120.27865646688,0,0,344462
127.6169,0,0,0,0,0,0,0,0,,None,128.62417646688,0,0,659087
134.5844,0,0,0,0,0,0,0,0,,None,135.59167646688,0,0,718609
140.08845,0,0,0,0,0,0,0,0,,None,141.09572646688,0,0,336592
141.6324,0,0,0,0,0,0,0,0,,None,142.63967646688,0,0,1120177
141.63358,0,0,0,0,0,0,0,0,,None,142.64085646688,0,0,371932
141.63476,0,0,0,0,0,0,0,0,,None,142.64203646688,0,0,355448
154.36327,0,0,0,0,0,0,0,0,,None,155.37054646688,0,0,391097
154.45044,0,0,0,0,0,0,0,0,,None,155.45771646688,0,0,340808
159.02294,0,0,0,0,0,0,0,0,,None,160.03021646688,0,0,4932563
159.02702,0,0,0,0,0,0,0,0,,None,160.03429646688,0,0,9766340
159.35755,0,0,0,0,0,0,0,0,,None,160.36482646688,0,0,1119687
159.36169,0,0,0,0,0,0,0,0,,None,160.36896646688,0,0,2242212
166.7736,0,0,0,0,0,0,0,0,,None,167.78087646688,0,0,713421
171.10276,9,16,3,0,0,0,0,0,CHO,Protein,172.11003646688,-0.535047123889198,1,542141
173.00934,0,0,0,0,0,0,0,0,,None,174.01661646688,0,0,409054
175.30889,0,0,0,0,0,0,0,0,,None,176.31616646688,0,0,745886
175.40882,0,0,0,0,0,0,0,0,,None,176.41609646688,0,0,352107
179.05676,0,0,0,0,0,0,0,0,,None,180.06403646688,0,0,674330
179.83553,0,0,0,0,0,0,0,0,,None,180.84280646688,0,0,575857
179.84052,0,0,0,0,0,0,0,0,,None,180.84779646688,0,0,960719
179.8472,0,0,0,0,0,0,0,0,,None,180.85447646688,0,0,1055934
184.75453,0,0,0,0,0,0,0,0,,None,185.76180646688,0,0,5326697
